	sub_clusters_manual
15-26165708-26166756	sub_cluster_4
15-26176028-26176360	sub_clust_1
15-26176643-26177035	sub_clust_1
15-26234261-26235405	unassigned
15-26246006-26246295	unassigned
15-26246737-26247123	unassigned
15-26252999-26253491	sub_clust_1
15-26254173-26254938	unassigned
15-26280015-26281076	unassigned
15-26303635-26304351	sub_clust_2
15-26308028-26308589	unassigned
15-26310601-26310942	unassigned
15-26312198-26313781	unassigned
15-26338428-26338646	unassigned
15-26368515-26369537	unassigned
15-26385673-26385933	unassigned
15-26416597-26416815	unassigned
15-26418021-26418225	unassigned
15-26418572-26419979	unassigned
15-26433186-26433950	unassigned
15-26480568-26480773	unassigned
15-26488122-26488863	unassigned
15-26555890-26556276	unassigned
15-26591876-26592075	unassigned
15-26652308-26652531	unassigned
15-26668608-26669536	sub_clust_2
15-26675649-26676445	sub_clust_3
15-26692025-26692224	unassigned
15-26769369-26769818	unassigned
15-26770295-26770579	unassigned
15-26809626-26810347	unassigned
15-26870067-26870676	unassigned
15-26877082-26877588	unassigned
15-26915186-26915624	unassigned
15-26955956-26956155	unassigned
15-26972044-26972414	unassigned
15-26983490-26984523	sub_clust_1
15-26989029-26989591	unassigned
15-27048742-27050760	unassigned
15-27064347-27065044	sub_clust_2
15-27123480-27124425	sub_clust_3
15-27140723-27141246	unassigned
15-27172755-27173311	unassigned
15-27179683-27179946	unassigned
15-27206852-27207981	unassigned
15-27216334-27216999	unassigned
15-27282404-27282649	unassigned
15-27389457-27390286	unassigned
15-27405544-27406417	unassigned
15-27406869-27407653	unassigned
15-27419067-27419562	unassigned
15-27427867-27429573	unassigned
15-27433219-27434183	unassigned
15-27449429-27450751	unassigned
15-27520713-27521081	unassigned
15-27548888-27549324	unassigned
15-27596556-27596970	unassigned
15-27653050-27653249	unassigned
15-27724710-27725387	unassigned
15-27751988-27752268	sub_clust_2
15-27756247-27756870	unassigned
15-27764997-27765532	sub_cluster_4
15-27770421-27771438	unassigned
15-27786078-27786507	unassigned
15-27910001-27910784	sub_clust_0
15-27927389-27928137	unassigned
15-27930638-27931491	unassigned
15-27935791-27936203	unassigned
15-27993532-27993931	unassigned
15-27995019-27996074	sub_clust_1
15-28006512-28007020	unassigned
15-28027734-28027983	unassigned
15-28048827-28049377	unassigned
15-28053266-28053926	sub_clust_2
15-28324925-28325432	unassigned
15-28337152-28337688	unassigned
15-28394925-28395958	unassigned
15-28398478-28399388	unassigned
15-28446532-28447432	sub_clust_3
15-28503577-28504436	unassigned
15-28523267-28523466	unassigned
15-28555479-28555713	unassigned
15-28562719-28562918	unassigned
15-28591445-28592266	unassigned
15-28610953-28611194	unassigned
15-28642550-28643665	unassigned
15-28659948-28660854	sub_clust_3
15-28670794-28671657	unassigned
15-28714989-28716025	unassigned
15-28726870-28727627	unassigned
15-28754496-28755629	unassigned
15-28780717-28781814	unassigned
15-28838953-28839223	unassigned
15-28839978-28841407	unassigned
15-28908984-28909195	sub_clust_0
15-28910651-28911072	unassigned
15-28930958-28931246	unassigned
15-28944125-28944367	unassigned
15-28950607-28950980	unassigned
15-28986345-28987101	unassigned
15-29028508-29029195	unassigned
15-29085676-29087693	unassigned
15-29097355-29097777	unassigned
15-29106065-29106950	unassigned
15-29161180-29162365	unassigned
15-29163443-29163701	unassigned
15-29196474-29196845	unassigned
15-29257375-29257743	unassigned
15-29265780-29266315	unassigned
15-29275717-29276879	unassigned
15-29280833-29281820	unassigned
15-29332482-29333920	unassigned
15-29381315-29383062	unassigned
15-29436553-29436926	sub_clust_1
15-29574220-29574567	unassigned
15-29592913-29593432	unassigned
15-29642628-29643770	unassigned
15-29696755-29697553	unassigned
15-29700935-29701761	unassigned
15-29740496-29741881	unassigned
15-29745475-29746440	unassigned
15-29755815-29756758	unassigned
15-29766344-29766817	unassigned
15-29769219-29769865	unassigned
15-29770378-29770926	unassigned
15-29772063-29772395	unassigned
15-29773070-29773931	unassigned
15-29774858-29775626	unassigned
15-29849950-29850243	unassigned
15-29879222-29879516	unassigned
15-29885527-29885848	unassigned
15-29886284-29886788	sub_clust_0
15-29887185-29887408	unassigned
15-29895875-29896539	unassigned
15-29918516-29918745	unassigned
15-29978724-29978923	unassigned
15-29987454-29987717	unassigned
15-30004813-30005012	unassigned
15-30005453-30005713	unassigned
15-30022819-30023143	unassigned
15-30023286-30023537	unassigned
15-30046772-30047569	unassigned
15-30056697-30057213	unassigned
15-30079640-30080565	unassigned
15-30100785-30101050	unassigned
15-30101529-30101938	unassigned
15-30113626-30113914	unassigned
15-30146350-30147006	unassigned
15-30189285-30189768	unassigned
15-30202016-30202365	unassigned
15-30207152-30207391	unassigned
15-30214420-30215616	sub_cluster_4
15-30238254-30238533	unassigned
15-30245596-30245822	unassigned
15-30250165-30250387	unassigned
15-30259296-30259945	sub_clust_1
15-30269695-30270944	sub_clust_1
15-30287628-30288524	unassigned
15-30347094-30347293	unassigned
15-30431567-30432542	sub_clust_2
15-30435387-30435954	sub_clust_2
15-30455510-30456339	unassigned
15-30468226-30468780	unassigned
15-30475954-30476512	unassigned
15-30497339-30498110	unassigned
15-30505094-30505736	sub_clust_2
15-30513837-30514517	unassigned
15-30523050-30523660	unassigned
15-30536913-30537865	unassigned
15-30549837-30550196	sub_clust_0
15-30550456-30551212	sub_clust_5
15-30552430-30553094	sub_clust_2
15-30561902-30562808	unassigned
15-30717726-30718195	sub_clust_3
15-30886890-30887131	unassigned
15-30896426-30897093	unassigned
15-30909046-30909581	sub_clust_2
15-30942866-30943414	unassigned
15-30949731-30950000	sub_clust_1
15-30962502-30963295	unassigned
15-30996007-30996789	sub_clust_2
15-31004703-31005294	unassigned
15-31005977-31006843	sub_clust_1
15-31033254-31033851	unassigned
15-31040922-31041698	unassigned
15-31104319-31105190	sub_clust_2
15-31106912-31107340	sub_clust_0
15-31112036-31112582	unassigned
15-31130646-31132641	unassigned
15-31189096-31189990	unassigned
15-31271951-31272592	unassigned
15-31314138-31314381	unassigned
15-31319645-31319883	unassigned
15-31356998-31357197	unassigned
15-31360337-31360822	unassigned
15-31417418-31417897	unassigned
15-31422867-31423488	unassigned
15-31424012-31425614	unassigned
15-31436020-31436265	unassigned
15-31448334-31448533	unassigned
15-31484868-31485794	sub_clust_3
15-31524991-31525392	unassigned
15-31556200-31556492	unassigned
15-31559347-31559546	unassigned
15-31580773-31581094	unassigned
15-31602970-31603236	unassigned
15-31615043-31615495	unassigned
15-31620966-31621840	sub_clust_1
15-31632239-31632876	unassigned
15-31637315-31638459	sub_clust_2
15-31652684-31652972	unassigned
15-31655549-31656390	unassigned
15-31662804-31664123	sub_clust_3
15-31664350-31664614	unassigned
15-31691608-31691847	unassigned
15-31713676-31714568	unassigned
15-31741466-31741665	unassigned
15-31746158-31747132	unassigned
15-31758072-31758452	unassigned
15-31813726-31814315	unassigned
15-31837699-31838073	unassigned
15-31873942-31874237	unassigned
15-31875762-31876100	unassigned
15-31885086-31885448	unassigned
15-31918942-31919345	unassigned
15-31957796-31958436	sub_clust_5
15-31962056-31962331	unassigned
15-31962919-31963652	unassigned
15-31984893-31985415	unassigned
15-32001834-32002335	unassigned
15-32004661-32005363	unassigned
15-32089361-32089972	sub_clust_1
15-32138077-32138721	unassigned
15-32155512-32156091	unassigned
15-32193224-32193432	unassigned
15-32220738-32221479	unassigned
15-32221680-32222398	unassigned
15-32235610-32236472	unassigned
15-32266697-32267185	unassigned
15-32284940-32285495	unassigned
15-32311801-32312469	unassigned
15-32364308-32364995	unassigned
15-32365697-32366330	unassigned
15-32392507-32393348	unassigned
15-32416271-32416635	unassigned
15-32422294-32422634	unassigned
15-32428692-32429239	unassigned
15-32447604-32448039	unassigned
15-32509437-32509954	unassigned
15-32514039-32514725	unassigned
15-32534752-32534951	unassigned
15-32558670-32559031	sub_clust_0
15-32656897-32657698	unassigned
15-32683360-32683792	unassigned
15-32684124-32684963	unassigned
15-32703467-32704219	unassigned
15-32734112-32734486	unassigned
15-32751557-32753058	sub_clust_2
15-32852980-32853179	unassigned
15-32864597-32864802	unassigned
15-32896550-32897176	unassigned
15-32924658-32925535	unassigned
15-32933378-32934264	unassigned
15-32939719-32940468	unassigned
15-32973929-32974431	unassigned
15-32980548-32981053	sub_cluster_4
15-32987795-32988230	unassigned
15-32989123-32989322	unassigned
15-33046987-33048431	unassigned
15-33058517-33060275	unassigned
15-33085947-33086535	unassigned
15-33098478-33099454	sub_clust_2
15-33114290-33114924	unassigned
15-33126198-33126632	unassigned
15-33156524-33157138	unassigned
15-33159278-33160026	unassigned
15-33161648-33161963	unassigned
15-33177218-33177571	unassigned
15-33225282-33225629	unassigned
15-33260283-33260905	unassigned
15-33280229-33280537	unassigned
15-33331562-33331919	unassigned
15-33347235-33347504	unassigned
15-33365177-33365472	unassigned
15-33387042-33388047	sub_clust_2
15-33398871-33399083	unassigned
15-33400283-33400805	unassigned
15-33410670-33411052	unassigned
15-33421648-33422472	unassigned
15-33427598-33428747	unassigned
15-33451824-33452617	unassigned
15-33494475-33495405	unassigned
15-33496437-33496924	unassigned
15-33527232-33528132	unassigned
15-33549443-33549706	unassigned
15-33552024-33552677	unassigned
15-33555634-33556229	unassigned
15-33569493-33570243	unassigned
15-33579716-33580881	unassigned
15-33593617-33594355	sub_clust_2
15-33600093-33600727	unassigned
15-33676226-33676662	unassigned
15-33677779-33679274	sub_clust_2
15-33702919-33703389	unassigned
15-33709350-33709847	unassigned
15-33752879-33753103	unassigned
15-33756075-33756683	sub_clust_0
15-33797669-33798002	sub_clust_0
15-33885845-33886316	unassigned
15-33933640-33933931	unassigned
15-33947052-33947565	unassigned
15-33978827-33979076	unassigned
15-33993724-33994322	unassigned
15-33995823-33996253	unassigned
15-33997954-33998285	unassigned
15-34006398-34006654	unassigned
15-34011764-34012481	unassigned
15-34026627-34027554	unassigned
15-34057578-34058335	unassigned
15-34110496-34110705	unassigned
15-34139627-34139979	unassigned
15-34155232-34155944	sub_clust_5
15-34169932-34171405	unassigned
15-34186675-34187181	unassigned
15-34192566-34192972	unassigned
15-34203874-34204234	unassigned
15-34208965-34209793	sub_clust_0
15-34266232-34266826	unassigned
15-34292310-34292812	unassigned
15-34322419-34322687	unassigned
15-34330918-34331264	unassigned
15-34343354-34343916	unassigned
15-34352488-34353034	unassigned
15-34375236-34375488	unassigned
15-34413634-34414139	unassigned
15-34438660-34438998	unassigned
15-34441822-34442334	unassigned
15-34444077-34444620	sub_clust_0
15-34448878-34449402	unassigned
15-34476304-34476503	unassigned
15-34483085-34483430	unassigned
15-34659410-34659651	unassigned
15-34672436-34672882	unassigned
15-34715510-34715709	unassigned
15-34726444-34726707	unassigned
15-34730111-34730313	unassigned
15-34735821-34736360	unassigned
15-34766225-34766424	unassigned
15-34780481-34780885	unassigned
15-34791038-34791588	unassigned
15-34838866-34839690	unassigned
15-34859242-34859540	unassigned
15-34888975-34889382	unassigned
15-34910157-34910488	unassigned
15-34984649-34985525	sub_clust_1
15-35007933-35008896	unassigned
15-35020602-35020936	unassigned
15-35028223-35029191	unassigned
15-35142892-35143391	unassigned
15-35168393-35168787	unassigned
15-35182179-35182720	unassigned
15-35197676-35198196	unassigned
15-35217359-35217750	unassigned
15-35231360-35232071	unassigned
15-35245817-35246833	unassigned
15-35289727-35290174	unassigned
15-35290432-35290639	unassigned
15-35296415-35297121	unassigned
15-35316115-35317120	sub_clust_3
15-35327450-35328339	sub_clust_5
15-35355931-35356426	sub_cluster_4
15-35372111-35372310	unassigned
15-35384511-35386853	unassigned
15-35453029-35453507	unassigned
15-35478729-35479214	unassigned
15-35495871-35496370	unassigned
15-35511426-35512398	unassigned
15-35538075-35539293	unassigned
15-35563678-35564352	unassigned
15-35566725-35567569	sub_clust_2
15-35576353-35576634	sub_clust_2
15-35577964-35578761	sub_clust_2
15-35584305-35584650	unassigned
15-35600451-35601232	unassigned
15-35611136-35611898	unassigned
15-35619646-35620775	unassigned
15-35625366-35626128	unassigned
15-35677692-35678119	unassigned
15-35691586-35693614	unassigned
15-35720215-35720598	unassigned
15-35739410-35739755	unassigned
15-35795650-35795969	unassigned
15-35808563-35809758	unassigned
15-35817603-35818679	unassigned
15-35826063-35826284	unassigned
15-35895819-35896756	sub_clust_1
15-35913489-35914109	sub_clust_3
15-36015488-36016022	unassigned
15-36023942-36024299	unassigned
15-36024623-36024918	unassigned
15-36033225-36033929	unassigned
15-36039392-36040162	unassigned
15-36043356-36044125	sub_clust_0
15-36046062-36046285	unassigned
15-36049139-36049663	unassigned
15-36057323-36058208	unassigned
15-36062768-36063020	unassigned
15-36065874-36066772	unassigned
15-36094007-36094522	unassigned
15-36099499-36100436	sub_clust_0
15-36115552-36116557	unassigned
15-36127934-36128141	unassigned
15-36128913-36129702	sub_clust_2
15-36139414-36140711	sub_clust_0
15-36161479-36162809	sub_clust_5
15-36164003-36164257	unassigned
15-36166553-36167386	unassigned
15-36191249-36192021	sub_clust_5
15-36212763-36213654	unassigned
15-36283990-36284413	unassigned
15-36284801-36285093	unassigned
15-36288906-36289135	unassigned
15-36297891-36298566	sub_clust_2
15-36334178-36334715	unassigned
15-36387744-36388050	unassigned
15-36391916-36392558	sub_cluster_4
15-36417048-36417643	sub_cluster_4
15-36441161-36442239	sub_clust_0
15-36478390-36478803	unassigned
15-36480942-36481203	unassigned
15-36486392-36487086	unassigned
15-36512027-36512258	unassigned
15-36544546-36545498	unassigned
15-36546856-36547529	unassigned
15-36563465-36563744	unassigned
15-36584187-36584500	unassigned
15-36617832-36618706	unassigned
15-36645477-36645928	unassigned
15-36653426-36653947	unassigned
15-36705609-36705861	unassigned
15-36804714-36806027	unassigned
15-36984778-36986134	unassigned
15-37010917-37011569	sub_clust_0
15-37028348-37028693	sub_clust_0
15-37058666-37059191	unassigned
15-37064152-37064518	unassigned
15-37116278-37117065	unassigned
15-37140765-37141688	unassigned
15-37153672-37154048	sub_clust_2
15-37240311-37240568	unassigned
15-37334840-37335241	unassigned
15-37380105-37380578	unassigned
15-37384676-37385557	unassigned
15-37439324-37439630	unassigned
15-37464747-37464946	unassigned
15-37498880-37499125	unassigned
15-37526143-37526777	unassigned
15-37619279-37619615	unassigned
15-37639755-37640402	unassigned
15-37664460-37665249	unassigned
15-37684157-37684672	unassigned
15-37735415-37735718	unassigned
15-37763678-37764049	unassigned
15-37772099-37772576	unassigned
15-37795357-37796808	unassigned
15-37797927-37798126	unassigned
15-37862846-37863297	unassigned
15-37864818-37865313	unassigned
15-37880517-37880895	unassigned
15-37894309-37894508	unassigned
15-37896301-37896612	unassigned
15-37921395-37921676	unassigned
15-37924098-37924297	unassigned
15-37928926-37929126	unassigned
15-37945103-37945522	unassigned
15-37963185-37963619	unassigned
15-38010087-38010557	unassigned
15-38011028-38011319	unassigned
15-38018897-38019244	unassigned
15-38021124-38021501	unassigned
15-38046022-38046333	sub_clust_0
15-38047712-38048765	sub_clust_3
15-38072002-38072343	unassigned
15-38092188-38092495	unassigned
15-38097324-38097570	unassigned
15-38130829-38131336	unassigned
15-38138086-38139555	unassigned
15-38140559-38141004	unassigned
15-38141173-38141372	unassigned
15-38169058-38169434	unassigned
15-38177715-38177971	unassigned
15-38204904-38205108	unassigned
15-38235567-38236797	unassigned
15-38247994-38248281	sub_clust_0
15-38282477-38283058	unassigned
15-38294396-38294729	unassigned
15-38371078-38371277	unassigned
15-38382033-38382371	unassigned
15-38389277-38389790	unassigned
15-38401673-38402251	unassigned
15-38403378-38403911	unassigned
15-38422429-38423071	unassigned
15-38425586-38426142	unassigned
15-38438897-38439591	unassigned
15-38505292-38505809	unassigned
15-38506216-38506766	unassigned
15-38574356-38574928	unassigned
15-38614121-38614345	unassigned
15-38664015-38664359	unassigned
15-38700548-38700969	unassigned
15-38702935-38703261	unassigned
15-38738816-38739093	unassigned
15-38771482-38772699	unassigned
15-38861065-38862096	unassigned
15-38869189-38869522	unassigned
15-38889967-38890844	unassigned
15-38926802-38927452	unassigned
15-38990442-38991296	sub_clust_1
15-39064187-39065160	unassigned
15-39071741-39072540	unassigned
15-39092102-39092523	unassigned
15-39112461-39113136	sub_clust_0
15-39212633-39213343	unassigned
15-39272324-39273165	unassigned
15-39286257-39286709	unassigned
15-39319465-39320456	unassigned
15-39461087-39462152	unassigned
15-39463657-39464122	unassigned
15-39484424-39484796	unassigned
15-39490330-39491429	unassigned
15-39504571-39505403	unassigned
15-39522287-39522547	unassigned
15-39528031-39528585	unassigned
15-39550728-39550951	sub_clust_5
15-39629445-39630788	unassigned
15-39670207-39670447	unassigned
15-39722900-39724391	unassigned
15-39729787-39729989	unassigned
15-39730413-39730909	unassigned
15-39734965-39735465	unassigned
15-39740058-39740736	unassigned
15-39743297-39743890	unassigned
15-39811770-39812518	unassigned
15-39846650-39847198	unassigned
15-39918806-39919545	sub_clust_0
15-39920527-39920976	sub_clust_2
15-39928331-39928924	unassigned
15-39949545-39949765	unassigned
15-39987393-39987592	unassigned
15-40002016-40002525	unassigned
15-40081903-40082448	unassigned
15-40154795-40155002	unassigned
15-40170493-40171306	sub_clust_2
15-40193130-40193427	unassigned
15-40249221-40250537	sub_clust_2
15-40295631-40295868	unassigned
15-40299889-40300109	unassigned
15-40351181-40351576	unassigned
15-40353376-40353838	unassigned
15-40380086-40381569	unassigned
15-40391045-40391810	sub_clust_2
15-40403613-40403932	unassigned
15-40426728-40427627	unassigned
15-40439901-40440758	unassigned
15-40444095-40444805	unassigned
15-40459211-40459625	sub_clust_2
15-40479839-40480672	unassigned
15-40516136-40516418	unassigned
15-40561690-40562202	unassigned
15-40635504-40635922	unassigned
15-40648626-40648992	unassigned
15-40668442-40669534	unassigned
15-40761356-40762608	unassigned
15-40764456-40765531	unassigned
15-40858199-40858526	unassigned
15-40889099-40889367	sub_clust_2
15-40934401-40934621	unassigned
15-40937952-40938672	unassigned
15-40941244-40941743	unassigned
15-40970807-40972104	unassigned
15-41010620-41011235	unassigned
15-41013211-41013584	unassigned
15-41028601-41028800	unassigned
15-41049948-41050147	unassigned
15-41059183-41059413	unassigned
15-41066140-41066940	unassigned
15-41067575-41067840	unassigned
15-41089211-41089793	unassigned
15-41108869-41109291	unassigned
15-41109457-41110013	unassigned
15-41154305-41154872	sub_cluster_4
15-41170085-41170852	sub_clust_2
15-41265430-41265737	unassigned
15-41283486-41283982	unassigned
15-41312586-41312836	unassigned
15-41419597-41420171	unassigned
15-41480532-41480823	unassigned
15-41483175-41485743	unassigned
15-41507027-41507639	unassigned
15-41511579-41513231	unassigned
15-41526537-41527372	unassigned
15-41527636-41528111	unassigned
15-41539925-41540634	unassigned
15-41584481-41584983	unassigned
15-41605566-41605822	unassigned
15-41700842-41701163	unassigned
15-41711813-41713247	sub_clust_3
15-41760050-41760827	sub_clust_1
15-41767530-41768030	unassigned
15-41784064-41784434	unassigned
15-41786867-41787130	unassigned
15-41835156-41836139	unassigned
15-41839585-41840456	unassigned
15-41882382-41882730	unassigned
15-41902129-41902369	unassigned
15-41947283-41947922	sub_clust_2
15-41964117-41964887	unassigned
15-41965200-41965402	unassigned
15-41987821-41988715	unassigned
15-41991304-41992232	unassigned
15-42014934-42016046	unassigned
15-42018520-42019451	unassigned
15-42023405-42024322	unassigned
15-42056644-42057070	unassigned
15-42073795-42074132	unassigned
15-42097083-42097610	unassigned
15-42144331-42145338	unassigned
15-42185340-42186293	unassigned
15-42264302-42265229	sub_clust_3
15-42353239-42353903	unassigned
15-42383345-42384351	unassigned
15-42385593-42386172	unassigned
15-42480667-42481180	sub_clust_0
15-42503799-42505491	unassigned
15-42508191-42508420	unassigned
15-42554774-42554973	unassigned
15-42566653-42567239	sub_clust_3
15-42573584-42575538	unassigned
15-42582164-42583549	unassigned
15-42597269-42597578	unassigned
15-42618866-42619287	unassigned
15-42646649-42647553	sub_clust_2
15-42652962-42654034	unassigned
15-42692050-42692331	unassigned
15-42709190-42709677	unassigned
15-42776077-42776636	sub_clust_2
15-42797102-42797602	unassigned
15-42805919-42807220	unassigned
15-42810094-42810558	unassigned
15-42815455-42815844	unassigned
15-42829073-42829498	unassigned
15-42846801-42847133	sub_clust_0
15-42859617-42860027	unassigned
15-42908715-42909700	unassigned
15-42922552-42922865	unassigned
15-42934608-42934962	unassigned
15-42960077-42960595	unassigned
15-42966795-42967237	unassigned
15-42994882-42995753	unassigned
15-43120901-43121212	unassigned
15-43124247-43124863	unassigned
15-43128800-43129400	unassigned
15-43169825-43170375	sub_clust_2
15-43359364-43360837	unassigned
15-43409050-43409781	sub_clust_1
15-43415896-43416342	sub_clust_2
15-43487672-43488843	sub_clust_3
15-43510540-43511348	unassigned
15-43530545-43530885	unassigned
15-43651165-43651732	unassigned
15-43668761-43669316	unassigned
15-43682129-43682899	sub_clust_1
15-43710531-43710790	unassigned
15-43732873-43733072	unassigned
15-43747493-43747941	unassigned
15-43755728-43757431	unassigned
15-43768082-43769053	sub_clust_1
15-43774934-43775796	sub_clust_2
15-43932963-43933240	unassigned
15-43933824-43934530	unassigned
15-43935172-43935415	unassigned
15-43941494-43943150	sub_cluster_4
15-43961668-43962227	sub_clust_3
15-43963212-43963553	unassigned
15-44120436-44121112	sub_cluster_4
15-44121165-44121812	sub_clust_2
15-44127804-44128949	unassigned
15-44168966-44169477	unassigned
15-44178966-44179219	unassigned
15-44216269-44216627	sub_clust_0
15-44243530-44244720	sub_clust_2
15-44244959-44245619	sub_clust_1
15-44272890-44273101	unassigned
15-44293243-44293569	unassigned
15-44342371-44342701	unassigned
15-44363061-44363406	unassigned
15-44378521-44379229	unassigned
15-44383232-44383588	unassigned
15-44383838-44384228	unassigned
15-44385810-44386009	unassigned
15-44444806-44445351	sub_clust_3
15-44456360-44456664	unassigned
15-44459720-44459919	unassigned
15-44484425-44484624	unassigned
15-44487867-44488421	unassigned
15-44531145-44531344	unassigned
15-44583224-44583739	unassigned
15-44612091-44612598	unassigned
15-44635866-44636228	unassigned
15-44686784-44687003	unassigned
15-44691810-44692610	unassigned
15-44700371-44700879	unassigned
15-44718260-44718543	unassigned
15-44720911-44722139	unassigned
15-44742030-44742851	unassigned
15-44763271-44763693	unassigned
15-44789137-44789692	unassigned
15-44799210-44799546	unassigned
15-44803382-44803984	unassigned
15-44813045-44813257	unassigned
15-44870067-44870466	unassigned
15-44971606-44972165	unassigned
15-44990387-44990674	unassigned
15-44992579-44993061	unassigned
15-44993314-44994049	sub_clust_1
15-45024834-45025192	unassigned
15-45037177-45037802	sub_clust_3
15-45088915-45089733	unassigned
15-45098850-45099397	sub_clust_0
15-45143663-45144068	unassigned
15-45209179-45209378	unassigned
15-45296829-45297722	unassigned
15-45315147-45316185	unassigned
15-45328787-45328996	unassigned
15-45335424-45335781	unassigned
15-45347059-45348176	unassigned
15-45418129-45419020	sub_cluster_4
15-45471869-45472138	unassigned
15-45490303-45490502	unassigned
15-45490884-45491795	sub_clust_2
15-45502301-45502591	unassigned
15-45560383-45560909	unassigned
15-45570911-45571111	unassigned
15-45579465-45579894	unassigned
15-45611718-45612586	sub_clust_2
15-45652125-45652675	unassigned
15-45714582-45715406	unassigned
15-45716708-45717344	unassigned
15-45732970-45733729	sub_clust_0
15-45737320-45738224	unassigned
15-45742196-45742596	unassigned
15-45742787-45743059	unassigned
15-45792111-45792681	sub_clust_2
15-45793311-45793510	unassigned
15-45847994-45848193	unassigned
15-45886363-45886941	unassigned
15-45894708-45895071	unassigned
15-45896323-45897102	unassigned
15-45897452-45898542	unassigned
15-45911832-45912093	unassigned
15-45919370-45920088	unassigned
15-45931128-45931484	unassigned
15-45931894-45932139	unassigned
15-45942568-45943064	unassigned
15-45944506-45944869	unassigned
15-45949917-45950364	unassigned
15-45975710-45975985	unassigned
15-46000492-46000891	unassigned
15-46010455-46011127	unassigned
15-46021378-46021984	unassigned
15-46023946-46024776	unassigned
15-46038300-46038593	unassigned
15-46067336-46067872	unassigned
15-46068481-46068984	unassigned
15-46133157-46133773	unassigned
15-46173208-46173621	unassigned
15-46181002-46181386	unassigned
15-46189214-46189765	unassigned
15-46200681-46201277	unassigned
15-46230898-46231472	unassigned
15-46262038-46262388	unassigned
15-46283553-46283827	unassigned
15-46300952-46301223	unassigned
15-46339736-46339952	unassigned
15-46341234-46341761	unassigned
15-46391452-46391827	unassigned
15-46402367-46402963	unassigned
15-46408298-46408821	unassigned
15-46415256-46415699	unassigned
15-46431619-46431990	unassigned
15-46433939-46434456	unassigned
15-46452843-46453198	unassigned
15-46461883-46462162	unassigned
15-46484833-46485465	sub_clust_3
15-46491731-46492047	sub_clust_2
15-46505502-46506106	sub_clust_2
15-46618460-46618796	unassigned
15-46629901-46630200	unassigned
15-46630901-46631717	unassigned
15-46661667-46662684	unassigned
15-46742952-46743195	unassigned
15-46812165-46814121	unassigned
15-46843180-46843648	unassigned
15-46928828-46929256	unassigned
15-46949232-46949677	unassigned
15-46952507-46953352	sub_clust_3
15-46957505-46958273	unassigned
15-46974494-46974722	unassigned
15-47015218-47016148	unassigned
15-47065028-47065254	sub_clust_0
15-47108851-47109194	unassigned
15-47110549-47110775	unassigned
15-47131435-47133011	sub_clust_3
15-47222766-47223483	sub_clust_2
15-47231376-47232071	sub_clust_2
15-47388851-47389441	unassigned
15-47394707-47395488	unassigned
15-47475019-47475963	sub_cluster_4
15-47506878-47507399	unassigned
15-47530548-47531711	unassigned
15-47672340-47672611	sub_clust_0
15-47679981-47680431	sub_clust_2
15-47696411-47696772	unassigned
15-47698653-47698889	unassigned
15-47751017-47752960	unassigned
15-47832831-47833588	sub_clust_1
15-47875747-47876171	unassigned
15-47891653-47892217	sub_clust_2
15-47907963-47908576	sub_clust_3
16-40234-40794	sub_clust_0
16-43050-43729	unassigned
16-53138-54308	unassigned
16-90245-90819	unassigned
16-136317-136519	unassigned
16-146018-146629	sub_clust_1
16-169614-170213	unassigned
16-196733-197970	unassigned
16-233144-233589	sub_clust_3
16-290817-291714	sub_clust_2
16-340674-341960	unassigned
16-366424-367292	sub_clust_2
16-404740-404987	unassigned
16-408075-409303	sub_clust_5
16-412146-413056	unassigned
16-434309-435131	unassigned
16-449732-451230	unassigned
16-466226-466906	unassigned
16-524368-524936	unassigned
16-529864-530743	unassigned
16-548898-549097	unassigned
16-550766-551155	unassigned
16-571279-572169	sub_clust_5
16-588294-588702	unassigned
16-599150-599716	unassigned
16-614107-615001	unassigned
16-697892-699109	unassigned
16-745784-747316	unassigned
16-754987-755418	unassigned
16-802887-803712	sub_cluster_4
16-845062-845814	unassigned
16-856778-857268	unassigned
16-961104-961405	sub_clust_0
16-961416-961615	sub_clust_0
16-967818-968044	unassigned
16-1035203-1037340	unassigned
16-1059745-1060647	unassigned
16-1083620-1084370	unassigned
16-1097962-1098450	sub_clust_2
16-1107041-1108244	unassigned
16-1135479-1135704	unassigned
16-1165361-1166141	sub_clust_2
16-1170236-1170825	unassigned
16-1188920-1189793	unassigned
16-1204475-1205106	sub_clust_5
16-1225454-1226314	unassigned
16-1346530-1347121	unassigned
16-1351366-1352163	unassigned
16-1352399-1353212	unassigned
16-1373162-1373793	unassigned
16-1433090-1434001	unassigned
16-1480983-1481774	sub_cluster_4
16-1506697-1507121	sub_clust_2
16-1594977-1595824	sub_cluster_4
16-1660952-1661818	sub_clust_2
16-1677905-1678104	unassigned
16-1695139-1695718	unassigned
16-1717489-1717923	unassigned
16-1734602-1735369	unassigned
16-1747246-1747855	unassigned
16-1749819-1750018	sub_clust_0
16-1779967-1780773	unassigned
16-1785806-1786028	unassigned
16-1821093-1821299	unassigned
16-1824476-1824742	unassigned
16-1840281-1840770	unassigned
16-1859703-1860699	unassigned
16-1869981-1870180	unassigned
16-1878439-1878643	sub_clust_0
16-1933700-1933899	unassigned
16-1958354-1958939	unassigned
16-1963707-1964050	unassigned
16-1991439-1991837	unassigned
16-2014505-2015273	sub_clust_1
16-2020161-2020459	unassigned
